dataset,model,labels,predictors,roc_auc,roc_auc_std,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds_total,predict_seconds_total,folds
diabetes,plain,real,8,0.8372436757512228,0.03547857670903671,0.7556064850182497,0.7641773048776801,0.44270440251572324,0.5562095173758724,0.9234,0.7254663229410819,0.5007043840410237,0.16466324633150237,34.895791954662215,34.89517018928783,1.8595267108175904,,50
hazelnut-spread-contaminant-detection,curriculum,real,30,0.8939758733713592,0.013416556727700662,0.811914127258632,0.7770609151209277,0.8755877570540411,0.8231772262536131,0.7482501195600192,0.8806244382652441,0.4303711872572686,0.1362112388362265,50.0,50.0,49.75361677526962,,50
hazelnut-spread-contaminant-detection,mixed,real,30,0.8990783823821021,0.012806324478834941,0.8119623114079552,0.7772565479663714,0.8754901960784314,0.8231996411024738,0.7484442850310856,0.8866174967869986,0.4307109560698752,0.1358340177995367,50.0,50.0,49.82679701666348,,50
hazelnut-spread-contaminant-detection,plain,real,30,0.9048350958229812,0.011880827776274172,0.8217289045262091,0.7980172912922983,0.862207556193209,0.8286444247231869,0.7812558584409374,0.8943679268292432,0.4132128392067556,0.12946198801777034,50.0,50.0,49.75315720529761,,50
heloc,curriculum,real,23,0.766028828546232,0.020532309265437997,0.7025395670582623,0.7072750138383812,0.6464735740450025,0.6749464038616884,0.753891448378746,0.749258768517519,0.6152725344800064,0.21207507845265167,47.80273417857311,47.80273123024629,38.82605477492325,,50
heloc,mixed,real,23,0.7655348851177657,0.021150595157602172,0.697656866837617,0.7215922625507473,0.6003035060177918,0.654773562560841,0.7868154095915054,0.7467825746713609,0.6237381228460142,0.21599373743832706,47.80273417857311,47.80273123024629,38.850016424199566,,50
heloc,plain,real,23,0.7665497296538121,0.021376624262302576,0.6987829924265013,0.7368207665224117,0.5776389324960753,0.6469549280753256,0.8097402483436444,0.7500817353990804,0.6245323379835103,0.21645415335323254,47.80273417857311,47.80273123024629,38.77975720807444,,50
in_vehicle_coupon_recommendation,curriculum,real,24,0.5938408516831144,0.02501739108591978,0.5680667899099529,0.5682595047015458,0.9991412609146072,0.7244746466335883,0.0004519774011299435,0.6572274630121333,0.6852476986246154,0.24605678576796783,56.8359381111059,56.83594728367821,40.35395207023248,,50
in_vehicle_coupon_recommendation,mixed,real,24,0.4815783550551811,0.021760303868760062,0.5683594728367821,0.5683594728367821,1.0,0.7247818334703999,0.0,0.5608150557568043,0.6845911917798534,0.245732291809785,56.8359381111059,56.83594728367821,40.371098831878044,,50
in_vehicle_coupon_recommendation,plain,real,24,0.5503346767061327,0.02520357811933376,0.5683594728367821,0.5683594728367821,1.0,0.7247818334703999,0.0,0.6038604989033914,0.6828645317688996,0.24488634710565113,56.8359381111059,56.83594728367821,40.300651286612265,,50
online_shoppers_intention,curriculum,real,17,0.8942672708964785,0.021454288150731915,0.8750991710895104,0.7428103864597534,0.3066517857142857,0.42932895717045905,0.9792007462810881,0.6250860265400595,0.2983376638462676,0.0900423457261056,15.478511048980847,15.47844236388574,29.754844153299928,,50
online_shoppers_intention,mixed,real,17,0.8916460556225845,0.0221605098435872,0.8755866181644701,0.7523336190480105,0.3047519841269841,0.4277031269904845,0.9801254351918176,0.6294039747100318,0.30042153996601156,0.08981929338270221,15.478511048980847,15.47844236388574,29.7818733897293,,50
online_shoppers_intention,plain,real,17,0.8937925592775743,0.02163463275272248,0.8771011986403482,0.747134720256594,0.3176984126984127,0.44186405568285486,0.9795472339291367,0.6343300122892342,0.2949197790714208,0.08782870699252429,15.478511048980847,15.47844236388574,29.668710470898077,,50
seismic-bumps,curriculum,real,15,0.7578364270521802,0.035253179923832985,0.9340819369073887,0.0,0.0,0.0,1.0,0.1954724318361798,0.22863390763974156,0.05914593294542726,6.591797464280686,6.591806309261138,25.630055514047854,,50
seismic-bumps,mixed,real,15,0.752632048203385,0.034275069589290066,0.9340819369073887,0.0,0.0,0.0,1.0,0.18551976642522816,0.2325733238458238,0.05976727760998576,6.591797464280686,6.591806309261138,25.68718902382534,,50
seismic-bumps,plain,real,15,0.7507474390306262,0.035976743919780126,0.9340819369073887,0.0,0.0,0.0,1.0,0.1868432989830266,0.23246919816879721,0.05980625716302188,6.591797464280686,6.591806309261138,25.542283836752176,,50
