dataset,task_id,classes,predictors,fold,model,roc_auc,accuracy,precision,recall,f1,specificity,auprc,cross_entropy,brier,support_positive_pct,query_positive_pct,fit_seconds,predict_seconds,inputs,labels,contamination,context_contaminated_rows,query_contaminated_rows,train_rows,test_rows
blood-transfusion-service-center,363621,2,4,23,plain,0.7581453634085213,0.7651006711409396,0.0,0.0,0.0,1.0,0.5658250808696794,0.4918848354972855,0.15988129228331063,23.87312186978297,23.48993288590604,0.023392101051285863,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,23,mixed,0.762406015037594,0.7651006711409396,0.0,0.0,0.0,1.0,0.5740493211106296,0.49118759620723446,0.1593784681296556,23.87312186978297,23.48993288590604,0.02377451292704791,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,23,curriculum,0.7676691729323308,0.7651006711409396,0.0,0.0,0.0,1.0,0.562011472991955,0.48164327961075776,0.15569144332811144,23.87312186978297,23.48993288590604,0.023753964924253523,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,24,plain,0.7322055137844612,0.7651006711409396,0.0,0.0,0.0,1.0,0.5493724762519914,0.49419461126767433,0.16138259091644314,23.87312186978297,23.48993288590604,0.023522164905443788,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,24,mixed,0.7156641604010026,0.7651006711409396,0.0,0.0,0.0,1.0,0.5280536669437755,0.49873822683231583,0.16300130249025774,23.87312186978297,23.48993288590604,0.02377864101435989,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,24,curriculum,0.7058897243107769,0.7651006711409396,0.0,0.0,0.0,1.0,0.4696605120620892,0.49419180651300976,0.16130245182397324,23.87312186978297,23.48993288590604,0.02376107405871153,,preprocessed,real,0.0,0,0,599,149
blood-transfusion-service-center,363621,2,4,25,plain,0.7269736842105263,0.76,0.0,0.0,0.0,1.0,0.527407785808259,0.5124151359080997,0.16659047307373703,23.745819397993312,24.0,0.023286576033569872,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,25,mixed,0.6989522417153996,0.76,0.0,0.0,0.0,1.0,0.48795284723168897,0.5176408540627226,0.16876286772815116,23.745819397993312,24.0,0.02366520802024752,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,25,curriculum,0.7086988304093567,0.76,0.0,0.0,0.0,1.0,0.4900819452175476,0.5088130985326422,0.16454798525147615,23.745819397993312,24.0,0.023681519087404013,,preprocessed,real,0.0,0,0,598,150
blood-transfusion-service-center,363621,2,4,26,plain,0.7309941520467836,0.7666666666666667,1.0,0.027777777777777776,0.05405405405405406,1.0,0.5320793461721394,0.5007792939080754,0.1637309607280158,23.745819397993312,24.0,0.023353980970568955,,preprocessed,real,0.0,0,0,598,150
