source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank
synthetic,noisy[2],0,0.0,0.0014550394844263792,0.0014541230630129576,1.1817034482955933
synthetic,noisy[2],1,0.2,0.0022175833582878113,0.002206947188824415,1.6787545680999756
synthetic,noisy[2],2,0.4,0.002254664897918701,0.002298100385814905,2.2484185695648193
synthetic,noisy[2],3,0.6,0.01572725921869278,0.015874657779932022,3.986060857772827
synthetic,noisy[2],4,0.8,0.030434388667345047,0.031131908297538757,2.3041205406188965
synthetic,noisy[2],5,1.0,0.09228666871786118,0.0881306380033493,2.235680103302002
synthetic,noisy[3],0,0.0,0.0011748557444661856,0.0011727786622941494,1.1836854219436646
synthetic,noisy[3],1,0.2,0.002635807730257511,0.0026237014681100845,1.5409373044967651
synthetic,noisy[3],2,0.4,0.003099648980423808,0.0031561758369207382,2.1104061603546143
synthetic,noisy[3],3,0.6,0.018268270418047905,0.018449312075972557,4.020097732543945
synthetic,noisy[3],4,0.8,0.030727041885256767,0.03151845186948776,2.621269464492798
synthetic,noisy[3],5,1.0,0.08002801239490509,0.07651958614587784,2.2573657035827637
synthetic,noisy[4],0,0.0,0.0016321510775014758,0.001628897967748344,1.2086970806121826
synthetic,noisy[4],1,0.2,0.003403047099709511,0.003388405544683337,1.5610474348068237
synthetic,noisy[4],2,0.4,0.004092562012374401,0.004171284381300211,2.107433319091797
synthetic,noisy[4],3,0.6,0.01584213227033615,0.015986785292625427,4.048701286315918
synthetic,noisy[4],4,0.8,0.024891143664717674,0.025513624772429466,2.8174455165863037
synthetic,noisy[4],5,1.0,0.08232194930315018,0.07870817929506302,1.995158076286316
synthetic,noisy[5],0,0.0,0.0022616174537688494,0.002257839310914278,1.175540566444397
synthetic,noisy[5],1,0.2,0.004552966915071011,0.004533602390438318,1.3578996658325195
synthetic,noisy[5],2,0.4,0.0049558235332369804,0.0050467271357774734,1.5429199934005737
synthetic,noisy[5],3,0.6,0.018203450366854668,0.01839285157620907,4.041657447814941
synthetic,noisy[5],4,0.8,0.02997989021241665,0.030745964497327805,2.79563570022583
synthetic,noisy[5],5,1.0,0.09171771258115768,0.08742643892765045,2.2073543071746826
synthetic,noisy[6],0,0.0,0.0014434857293963432,0.001441820408217609,1.2752130031585693
synthetic,noisy[6],1,0.2,0.0025408423971384764,0.0025312798097729683,1.8686707019805908
synthetic,noisy[6],2,0.4,0.0023644978646188974,0.0024093976244330406,2.5823721885681152
synthetic,noisy[6],3,0.6,0.012804513797163963,0.012905093841254711,4.030882835388184
synthetic,noisy[6],4,0.8,0.023189609870314598,0.02370293252170086,2.549342155456543
synthetic,noisy[6],5,1.0,0.06939121335744858,0.06639529764652252,2.220207929611206
synthetic,noisy[7],0,0.0,0.0017175020184367895,0.0017164561431854963,1.1915782690048218
synthetic,noisy[7],1,0.2,0.002808324759826064,0.002796050626784563,1.7350599765777588
synthetic,noisy[7],2,0.4,0.0025706682354211807,0.0026188800111413,2.1768147945404053
synthetic,noisy[7],3,0.6,0.014354825019836426,0.014479255303740501,4.350362777709961
synthetic,noisy[7],4,0.8,0.02832733653485775,0.028940502554178238,2.3073291778564453
synthetic,noisy[7],5,1.0,0.08048686385154724,0.07697056978940964,2.1487340927124023
synthetic,noisy[8],0,0.0,0.0018166294321417809,0.0018135346472263336,1.1864570379257202
synthetic,noisy[8],1,0.2,0.0037332060746848583,0.0037168413400650024,1.5563186407089233
synthetic,noisy[8],2,0.4,0.003833528608083725,0.0039061622228473425,1.790090560913086
synthetic,noisy[8],3,0.6,0.017629260197281837,0.017792563885450363,4.032270431518555
synthetic,noisy[8],4,0.8,0.023443637415766716,0.024017905816435814,3.023390293121338
synthetic,noisy[8],5,1.0,0.07156766206026077,0.06861492991447449,2.3242063522338867
synthetic,noisy[9],0,0.0,0.0012537739239633083,0.0012515545822679996,1.3435828685760498
synthetic,noisy[9],1,0.2,0.0025163860991597176,0.002505252603441477,1.6790504455566406
