source,dataset,layer_index,layer_fraction,raw_variance,scale_free_variance,effective_rank,support_raw_variance,support_scale_free_variance
synthetic,identifiable[15],4,0.8,0.02458963356912136,0.025165483355522156,2.821378231048584,0.014747850596904755,7.835737051209435e-05
synthetic,identifiable[15],5,1.0,0.07297573983669281,0.06977225840091705,2.36367130279541,0.030600009486079216,0.00015172967687249184
synthetic,identifiable[16],0,0.0,0.001317331800237298,0.0013155032647773623,1.3023879528045654,0.000622062711045146,3.239342959204805e-06
synthetic,identifiable[16],1,0.2,0.002488924190402031,0.002477366477251053,1.7923293113708496,0.0008781305514276028,4.556752173812129e-06
synthetic,identifiable[16],2,0.4,0.002756224013864994,0.0028078739996999502,2.204664468765259,0.0012438693083822727,6.5862154770002235e-06
synthetic,identifiable[16],3,0.6,0.017397558316588402,0.017573177814483643,4.559854030609131,0.010767932049930096,5.6382799812126905e-05
synthetic,identifiable[16],4,0.8,0.027806540951132774,0.028509855270385742,2.8406758308410645,0.015955645591020584,8.487320883432403e-05
synthetic,identifiable[16],5,1.0,0.07478513568639755,0.07164617627859116,2.2650463581085205,0.03981523960828781,0.00019787841301877052
synthetic,identifiable[17],0,0.0,0.00149905018042773,0.0014966221060603857,1.2613635063171387,0.0006932822871021926,3.610141902754549e-06
synthetic,identifiable[17],1,0.2,0.0029691606760025024,0.0029557771049439907,1.5851715803146362,0.000985837890766561,5.116398369864328e-06
synthetic,identifiable[17],2,0.4,0.0032947957515716553,0.003355999942868948,1.8506593704223633,0.0012064790353178978,6.387230769178132e-06
synthetic,identifiable[17],3,0.6,0.019138723611831665,0.019330669194459915,3.997727870941162,0.011004979722201824,5.7618475693743676e-05
synthetic,identifiable[17],4,0.8,0.03470540791749954,0.03559127822518349,2.3866565227508545,0.019154466688632965,0.00010187944280914962
synthetic,identifiable[17],5,1.0,0.09571196883916855,0.09156068414449692,2.0864343643188477,0.038526974618434906,0.00019110833818558604
synthetic,identifiable[18],0,0.0,0.0022206041030585766,0.0022179665975272655,1.5781835317611694,0.0008317147730849683,4.331087893660879e-06
synthetic,identifiable[18],1,0.2,0.003640705719590187,0.0036246301606297493,1.5474132299423218,0.0010413936106488109,5.40371001989115e-06
synthetic,identifiable[18],2,0.4,0.0038013081066310406,0.0038722509052604437,1.8047900199890137,0.0011960988631471992,6.330295946099795e-06
synthetic,identifiable[18],3,0.6,0.01688280701637268,0.017053620889782906,4.327740669250488,0.010405220091342926,5.447946386993863e-05
synthetic,identifiable[18],4,0.8,0.024196213111281395,0.02482353150844574,3.1241416931152344,0.017164921388030052,9.134411084232852e-05
synthetic,identifiable[18],5,1.0,0.07577569782733917,0.07241740077733994,2.259174108505249,0.04052550345659256,0.00020090839825570583
synthetic,identifiable[19],0,0.0,0.001442119013518095,0.0014422362437471747,1.252467155456543,0.000872884294949472,4.549917775875656e-06
synthetic,identifiable[19],1,0.2,0.0024182209745049477,0.0024087741039693356,2.146040916442871,0.0011403856333345175,5.9203630371484905e-06
synthetic,identifiable[19],2,0.4,0.002399893244728446,0.0024452293291687965,2.9995009899139404,0.0015077602583914995,7.987614480953198e-06
synthetic,identifiable[19],3,0.6,0.013944415375590324,0.01405278593301773,4.395083904266357,0.010881754569709301,5.6981869420269504e-05
synthetic,identifiable[19],4,0.8,0.028605911880731583,0.029204923659563065,2.4596731662750244,0.0196504108607769,0.00010433584247948602
synthetic,identifiable[19],5,1.0,0.07505479454994202,0.07176682353019714,2.3934807777404785,0.03711804747581482,0.0001841280609369278
synthetic,noisy[0],0,0.0,0.0012740262318402529,0.0012742297258228064,1.1860990524291992,0.0008289865218102932,4.321804226492532e-06
synthetic,noisy[0],1,0.2,0.0019183752592653036,0.0019115576287731528,1.9605005979537964,0.0010952204465866089,5.685498308594106e-06
synthetic,noisy[0],2,0.4,0.0017310217954218388,0.0017642367165535688,2.6347622871398926,0.0011551284696906805,6.121797923697159e-06
synthetic,noisy[0],3,0.6,0.010512040928006172,0.01059857290238142,4.160284042358398,0.008314867503941059,4.3538922909647226e-05
synthetic,noisy[0],4,0.8,0.03122984617948532,0.03189032897353172,2.0471110343933105,0.016894280910491943,8.963720756582916e-05
synthetic,noisy[0],5,1.0,0.08550134301185608,0.08157934993505478,2.026401996612549,0.031854297965765,0.0001575436326675117
synthetic,noisy[1],0,0.0,0.0020937244407832623,0.002089529298245907,1.250714659690857,0.0008895513601601124,4.632066975318594e-06
synthetic,noisy[1],1,0.2,0.00393600482493639,0.0039192563854157925,1.4772533178329468,0.0011200327426195145,5.812069048261037e-06
synthetic,noisy[1],2,0.4,0.004339559935033321,0.004420405253767967,1.769906997680664,0.0014838268980383873,7.856297997932415e-06
synthetic,noisy[1],3,0.6,0.017041929066181183,0.017209522426128387,4.331626892089844,0.010410126298666,5.4507851018570364e-05
synthetic,noisy[1],4,0.8,0.02885754406452179,0.029580509290099144,2.5109481811523438,0.0169106163084507,8.994143718155101e-05
synthetic,noisy[1],5,1.0,0.08042037487030029,0.07682245969772339,2.1277949810028076,0.03476927429437637,0.00017226135241799057
synthetic,noisy[2],0,0.0,0.0014550394844263792,0.0014541230630129576,1.1817034482955933,0.0008055779035203159,4.19636717197136e-06
synthetic,noisy[2],1,0.2,0.0022175833582878113,0.002206947188824415,1.6787545680999756,0.0009382407879456878,4.868775249633472e-06
synthetic,noisy[2],2,0.4,0.002254664897918701,0.002298100385814905,2.2484185695648193,0.0012557120062410831,6.652461706835311e-06
synthetic,noisy[2],3,0.6,0.01572725921869278,0.015874657779932022,3.986060857772827,0.011214789003133774,5.8746063587022945e-05
synthetic,noisy[2],4,0.8,0.030434388667345047,0.031131908297538757,2.3041205406188965,0.020155178382992744,0.00010709052730817348
synthetic,noisy[2],5,1.0,0.09228666871786118,0.0881306380033493,2.235680103302002,0.03876856714487076,0.00019193747721146792
